#############FID_486.csv##################
Species,individuals_freq,Cover_percentage
Cicer_microphyllum,5,35
Polygonum_cognatum,5,5
Myosotis_asiatica,5,1
Dontostemon_glandulosus,2,1
Rosularia_alpestris,1,1
Tanacetum_tibeticum,3,5
Delphinium_cashmerianum,5,5
#############FID_508.csv##################
Species,individuals_freq,Cover_percentage
Richteria_pyrethroides,4,3
Askellia_flexuosa,10,15
Saussurea_jacea,10,25
Aconogonon_tortuosum,2,15
#############FID_510.csv##################
Species,individuals_freq,Cover_percentage
Artemisia_kargilensis,3,1
Lonicera_spinosa,3,4
Astragalus_oplites,4,1
Rhamnus_prostrata,2,8
Elymus_schrenkianus_(g),10,2
Medicago_falcata,13,10
Sibbaldianthe_bifurca,70,15
Polygonum_polycnemoides,3,0.1
Psychrogeton_andryaloides,1,1
Scorzonera_virgata,3,2
Elymus_repens_(g),15,8
Heracleum_pinnatum,5,4
Medicago_varia,7,4
Geranium_regelii,5,2
Potentilla_multifida,5,2
Astragalus_thomsonii,10,4
Nepeta_discolor,8,4
Silene_rechingeri,12,3
Pedicularis_bicornuta,10,3
Conioselinum_vaginatum,50,20
Oxytropis_glabra,10,3
Lonicera_microphylla,1,8
Bromus_pectinatus_(g),20,5
Elymus_nutans_(g),9,1
Silene_moorcroftiana,10,2
Rosa_webbiana,1,2
Cerastium_fontanum,5,0.5
#############FID_511.csv##################
Species,individuals_freq,Cover_percentage
Semenovia_lasiocarpa,20,3
Ephedra_geradiana,100,40
Rosa_webbiana,15,20
Allium_oreoprasum,5,1
Aconogonon_tortuosum,10,15
Matthiola_chorassanica,5,1
Heracleum_pinnatum,5,5
Astragalus_oplites,2,1
#############FID_512.csv##################
Species,individuals_freq,Cover_percentage
Krascheninnikovia_ceratoides,5,5
Ephedra_geradiana,20,35
Ribes_orientale,3,5
Astragalus_sp,4,1
Lonicera_microphylla,3,12
Rhamnus_prostrata,2,5
#############FID_515.csv##################
Species,individuals_freq,Cover_percentage
Artemisia_brevifolia,30,25
Psychrogeton_andryaloides,17,12
Rosularia_alpestris,3,3
Astragalus_oplites,5,5
Polygonum_polycnemoides,3,1
Scorzonera_virgata,2,3
Dianthus_anatolicus,3,1
Lonicera_asperifolia,1,10
Elymus_schugnanicus_(g),10,4
#############FID_516.csv##################
Species,individuals_freq,Cover_percentage
Artemisia_brevifolia,10,20
Oxytropis_glabra,1,1
Ephedra_geradiana,10,10
Haloxylon_thomsonii,3,1
#############FID_520.csv##################
Species,individuals_freq,Cover_percentage
Cousinia_thomsonii,5,7
Astragalus_oplites,28,30
Nepeta_discolor,20,10
Polygonum_paronychioides,10,10
Lindelofia_stylosa,17,20
Polygonum_rottboellioides,2,2
Silene_rechingeri,35,10
Verbascum_thapsus,2,2
Elymus_sp_(g),40,20
Scorzonera_virgata,5,5
Eritrichium_spathulatum,3,1
#############FID_523.csv##################
Species,individuals_freq,Cover_percentage
Ephedra_geradiana,100,35
Lindelofia_anchusoides,2,1
Astragalus_sp,10,3
Dianthus_anatolicus,150,25
Artemisia_minor,1,1
Carex_sp_UNID_(g),25,10
#############FID_524.csv##################
Species,individuals_freq,Cover_percentage
Koenigia_rumicifolia,4,6
Potentilla_sojakii,30,15
Thesium_hookeri,3,3
Leontopodium_himalayanum,35,10
Rhodiola_crenulata,5,5
Kobresia_myosuroides_(s),20,10
Bistorta_affinis,10,8
Rhamnus_prostrata,4,1
Poa_attenuata_(g),15,10
Eritrichium_villosum,10,5
Allium_przewalskianum,6,4
Artemisia_santolinifolia,6,12
Nepeta_discolor,15,8
Polygonum_cognatum,5,2
Oxytropis_sp,7,4
Cerastium_cerastoides,5,2
Gentiana_tianschanica,3,5
Saxifraga_flagellaris,5,3
Aconitum_rotundifolium,5,3
Aster_flaccidus,15,5
Geranium_himalayense,10,4
Saussurea_gnaphlodes,2,2
Draba_sp,5,2
#############FID_527.csv##################
Species,individuals_freq,Cover_percentage
Lonicera_asperifolia,3,15
Hippophae_tibetana,11,30
Cicer_microphyllum,2,7
Aconogonon_tortuosum,2,6
Chenopodium_album,15,8
Lonicera_spinosa,1,5
Ephedra_geradiana,2,2
Elymus_schrenkianus_(g),9,4
Elymus_canaliculatus_(g),7,3
Calamagrostis_holciformis_(g),10,4
Arnebia_euchroma,5,6
Rosularia_alpestris,1,0.1
Oxytropis_microphylla,20,6
Gentiana_tianschanica,2,12
Salix_caesia,1,25
Pedicularis_bicornuta,1,2
Oxytropis_humifusa,4,2
Leontopodium_ochroleucum,6,2
Euphrasia_sp,3,1
Psychrogeton_andryaloides,8,4
#############FID_528.csv##################
Species,individuals_freq,Cover_percentage
Artemisia_moorcroftiana,3,5
Euphorbia_tibetica,2,1
Psychrogeton_andryaloides,1,1
Stipa_caucasica_(g),5,3
Elymus_schrenkianus_(g),7,6
Astragalus_oplites,1,2
Artemisia_brevifolia,4,5
Askellia_flexuosa,1,1
Scorzonera_virgata,1,2
#############FID_529.csv##################
Species,individuals_freq,Cover_percentage
Psychrogeton_andryaloides_var_poncinsii,10,8
Bistorta_affinis,7,12
Nepeta_discolor,6,3
Oxytropis_tatarica,5,3
Anaphalis_nubigena,3,1
Tanacetum_artemisioides,1,4
Aster_flaccidus,5,2
Pleurospermum_candollei,3,3
Rhodiola_tibetica,4,6
Sibbaldia_cuneata,50,10
Potentilla_sojakii,20,15
Cerastium_cerastoides,3,2
Pedicularis_bicornuta,5,3
Salix_flabellaris,10,7
Saxifraga_flagellaris,2,1
Piptatherum_laterale_(g),12,5
Kobresia_royleana_(s),15,7
Carex_pseudofoetida_(s),10,5
Saxifraga_meeboldi,11,5
Thalictrum_alpinum,15,3
Gentiana_burkillii,10,4
Primula_minutissima,50,6
#############FID_535.csv##################
Species,individuals_freq,Cover_percentage
Artemisia_salsoloides,2,8
Aconogonon_tortuosum,5,8
Lonicera_asperifolia,2,6
Nepeta_discolor,4,4
Aquilegia_moorcroftiana,3,5
Cremanthodium_ellisii,15,12
Salix_caesia,2,8
Lonicera_spinosa,2,30
Hippophae_tibetana,4,7
Lindelofia_stylosa,3,2
Gentianella_moorcroftiana,6,2
Ephedra_geradiana,3,1
#############FID_547.csv##################
Species,individuals_freq,Cover_percentage
Myricaria_germanica,3,20
Hippophae_rhamnoides,10,35
Taraxacum_officinale,15,5
Conioselinum_vaginatum,7,4
Oxytropis_glabra,9,4
Inula_rhizocephala,3,1
Nepeta_glutinosa,4,2
Geranium_regelii,5,2
Calamagrostis_holciformis_(g),15,5
Salix_pycnostachya,5,12
Elymus_repens_(g),15,4
Arenaria_serpyllifolia,5,1
Morina_coulteriana,2,1
Plantago_depressa,6,4
Calamagrostis_pseudophragmites_(g),10,3
Oxytropis_tatarica,1,1
Astragalus_rhizanthus,1,1
#############FID_550.csv##################
Species,individuals_freq,Cover_percentage
Rosa_webbiana,20,15
Saussurea_jacea,10,10
Lonicera_asperifolia,2,7
Corydalis_flabellata,5,12
Ribes_orientale,3,5
Christolea_crassifolia,5,5
Semenovia_lasiocarpa,6,4
Stipa_himalaica_(g),4,1
Rubia_tibetica,1,3
Carduus_nutans,8,2
Silene_rechingeri,9,5
Artemisia_salsoloides,3,6
Aquilegia_moorcroftiana,2,2
Geranium_regelii,4,2
#############FID_555.csv##################
Species,individuals_freq,Cover_percentage
Aconogonon_tortuosum,15,12
Nepeta_floccosa,8,8
Lonicera_spinosa,2,5
Astragalus_oplites,6,3
Rosa_webbiana,1,4
Askellia_flexuosa,2,1
Artemisia_brevifolia,12,10
Melica_persica_(g),6,2
#############FID_556.csv##################
Species,individuals_freq,Cover_percentage
Nepeta_glutinosa,2,20
Rosa_webbiana,2,10
Epilobium_angustifolium,10,5
Heracleum_pinnatum,8,4
Scrophularia_koelzii,3,3
Artemisia_santolinifolia,6,4
Scorzonera_virgata,5,3
Rhamnus_prostrata,5,4
Brachyactis_pubescens,4,2
Rumex_nepalensis,5,2
Haloxylon_thomsonii,2,0.5
Scopolia_lurida,3,1
566_1,100,100
566_3,100,100
#############FID_559.csv##################
Species,individuals_freq,Cover_percentage
Smenovia_lasiocarpa,1,3
Astragalus_rhizanthus,3,4
Oxytropis_glabra,7,4
Scorzonera_virgata,7,8
Inula_koelzii,2,2
Haloxylon_thomsonii,3,3
Krascheninnikovia_ceratoides,3,5
Gentianella_moorcroftiana,6,8
Thalictrum_foetidum,8,5
Poa_attenuata_(g),35,20
Cicer_microphyllum,2,5
Astragalus_thomsonii,25,20
Geranium_regelii,3,4
Artemisia_dracunculus,5,8
Gentiana_squarrosa,5,2
Pleurospermum_candollei,1,2
Silene_rechingeri,30,15
Nepeta_discolor,8,5
Elymus_sp_(g),5,3
Lonicera_spinosa,1,7
Elymus_nutans_(g),10,5
Astragalus_oplites,5,3
Sibbaldianthe_bifurca,9,4
Medicago_falcata,10,15
Nepeta_discolor,10,8
Arnebia_euchroma,1,3
Rhamnus_prostrata,1,4
#############FID_561.csv##################
Species,individuals_freq,Cover_percentage
Gentianella_moorcroftiana,6,8
Thalictrum_foetidum,8,5
Poa_attenuata_(g)35,20
Cicer_microphyllum,2,5
Astragalus_thomsonii,25,20
Geranium_regelii,3,4
Artemisia_dracunculus,5,8
Gentiana_squarrosa,5,2
Pleurospermum_candollei,1,2
Silene_rechingeri,30,15
Nepeta_discolor,8,5
Elymus_sp_(g),5,3
Lonicera_spinosa,1,7
Elymus_nutans_(g),10,5
Astragalus_oplites,5,3
Sibbaldianthe_bifurca,9,4
Medicago_falcata,10,15
Nepeta_discolor,10,8
Arnebia_euchroma,1,3
#############FID_571.csv##################
Species,individuals_freq,Cover_percentage
Ephedra_geradiana,20,40
Lindelofia_stylosa,2,2
Astragalus_oplites,5,4
Oxytropis_glabra,2,4
Elymus_repens_(g),5,3
Scorzonera_virgata,2,1
Scrophularia_koelzii,1,2
Elymus_dahuricus_(g),7,4
Lonicera_asperifolia,1,15
Heracleum_pinnatum,1,2
Haloxylon_thomsonii,1,1
#############FID_576.csv##################
Species,individuals_freq,Cover_percentage
Lonicera_asperifolia,1,8
Salix_pycnostachya,5,10
Rosa_webbiana,5,15
Meconopsis_aculeata,1,1
Artemisia_santolinifolia,15,15
Geranium_himalayense,3,2
Lindelofia_stylosa,2,1
Festuca_nitidula_(g),5,3
Agrostis_gigantea_(g),2,1
Scopolia_lurida,15,6
Festuca_kashmiriana_(g),1,2
Artemisia_brevifolia,3,5
#############FID_585.csv##################
Species,individuals_freq,Cover_percentage
Potentilla_saundersiana,15,10
Rhodiola_tibetica,4,2
Psychrogeton_andryaloides,25,20
Potentilla_sojakii,10,8
Potentilla_atrosanguinea_var_argyrophylla,6,3
Oxytropis_tatarica,5,2
Epilobium_latifolium,3,4
Geranium_himalayense,10,15
Rhodiola_wallichiana,4,2
Polygonum_cognatum,3,1
Sibbaldia_cuneata,4,1
Carex_pseudofoetida_(s),15,5
Poa_alpina_(g),20,10
Poa_attenuata_(g),10,3
Elymus_schugnanicus_(g),8,2
Lindelofia_stylosa,10,10
Geranium_himalayense,5,2
Eritrichium_villosum,8,5
Psychrogeton_andryaloides,40,25
Potentilla_saundersiana,7,3
Potentilla_atrosanguinea_var_argyrophylla,5,2
Rhodiola_wallichiana,3,1
Elymus_schugnanicus_(g),25,15
Oxytropis_tatarica,3,1
Carex_pseudofoetida_(s),15,5
#############FID_587.csv##################
Species,individuals_freq,Cover_percentage
Delphinium_cashmerianum,6,4
Pedicularis_bicornuta,6,5
Nepeta_discolor,8,4
Plantago_himalaica,2,1
Pedicularis_punctata,15,6
Euphrasia_himalayica,8,4
Oxytropis_hypoglottoides,9,6
Medicago_varia,5,5
Medicago_falcata,30,25
Circium_arvense,10,7
Potentilla_multifida,10,7
Sibbaldianthe_bifurca,16,7
Rumex_patientia,7,6
Dianthus_anatolicus,10,7
Lindelofia_stylosa,15,10
Polygonum_polycnemoides,6,3
Jacobaea_nudicaulis,5,4
Pleurospermum_candollei,8,7
Conioselinum_vaginatum,5,5
Inula_koelzii,2,3
Poa_alpina_(g),10,15
Poa_attenuata_(g),12,8
Astragalus_oplites,6,8
Elymus_repens_(g),15,10
Trichophorum_pumilum_(s),12,4
Kobresia_schoenoides_(s),6,10
Bromus_pectinatus_(g),10,5
Artemisia_dracunculus,2,3
#############FID_598.csv##################
Species,individuals_freq,Cover_percentage
Rheum_webbianum,6,5
Delphinium_brunonianum,5,5
Polygonum_cognatum,5,2
Nepeta_discolor,10,8
Ephedra_geradiana,10,15
Myosotis_asiatica,5,4
Lindelofia_stylosa,10,8
Potentilla_saundersiana,7,3
Elymus_dahuricus_(g),20,5
Arnebia_euchroma,5,8
Artemisia_brevifolia,1,2
Elymus_schugnanicus_(g),12,4
Geranium_himalayense,7,5
Oxytropis_tatarica,2,2
#############FID_611.csv##################
Species,individuals_freq,Cover_percentage
Thalictrum_foetidum,15,12
Allium_carolinianum,12,12
Bistorta_affinis,2,4
Epilobium_angustifolium,8,10
Nepeta_discolor,5,5
Ephedra_geradiana,10,8
Saxifraga_flagellaris,6,3
Androsace_robusta,7,5
Aster_flaccidus,5,4
Pedicularis_bicornuta,2,2
Thymus_linearis,15,7
Potentiila_saundersiana,9,7
Scorzonera_virgata,5,3
Rheum_webbianum,3,2
Arnebia_euchroma,12,15
Salix_karelinii,1,5
Rosularia_alpestris,2,2
Astragalus_thomsonii,8,6
Astragalus_tibetanus,7,6
Geranium_regelii,10,8
Piptatherum_gracile_(g),30,15
Delphinium_cashmerianum,5,3
Artemisia_brevifolia,4,2
#############FID_619.csv##################
Species,individuals_freq,Cover_percentage
Arnebia_euchroma,1,1
Aconogonon_tortuosum,2,3
Cicer_microphyllum,4,5
Askellia_flexuosa,8,4
Ephedra_geradiana,3,5
Oxytropis_tatarica,12,6
Myricaria_germanica,2,5
#############FID_621.csv##################
Species,individuals_freq,Cover_percentage
Salix_caesia,2,8
Leontopodium_brachyactis,10,6
Bistorta_vivipara,12,10
Equisetum_ramosissimum,5,7
Carex_pseudofoetida_(s),15,10
Blysmus_compressus_(s),15,6
Primula_pamirica,15,8
Dactylorhiza_hatagirea,3,1
Kobresia_schoenoides_(s),10,15
Kobresia_orbicularis_(s),8,10
Trisetum_spicatum_(g),15,10
#############FID_634.csv##################
Species,individuals_freq,Cover_percentage
Artemisia_dracunculus,9,4
unid_634,10,5
Nepeta_floccosa,2,1
Askellia_flexuosa,8,5
Krascheninnikovia_ceratoides,3,4
Astragalus_oplites,1,1
Oxytropis_microphylla,1,2
Christolea_crassifolia,6,4
Stipa_himalaica_(g),6,1
#############FID_642.csv##################
Species,individuals_freq,Cover_percentage
Arnebia_euchroma,4,5
Aconogonon_tortuosum,1,2
Ephedra_geradiana,7,8
Geranium_himalayense,12,6
Bistorta_affinis,10,5
Nepeta_discolor,6,4
Rheum_webbianum,4,3
Silene_caespitella,5,4
Epilobium_angustifolium,5,8
Potentilla_saundersiana,6,4
Cotoneaster_affinis,1,3
Oxytropis_glabra,4,1
Lindelofia_stylosa,3,4
Elymus_canaliculatus_(g),12,5
#############FID_643.csv##################
Species,individuals_freq,Cover_percentage
Caragana_versicolor,8,15
Nepeta_glutinosa,2,4
Psychrogeton_andryaloides,4,4
Lonicera_spinosa,1,3
Ephedra_intermedia,1,2
Potentilla_multifida,5,5
Astragalus_oplites,5,6
#############FID_648.csv##################
Species,individuals_freq,Cover_percentage
Delphinium_cashmerianum,2,1
Rheum_webbianum,5,5
Puccinellia_distans,8,4
Arnebia_euchroma,5,6
Euphorbia_thomsoniana,5,8
Artemisia_brevifolia,5,5
Polygonum_rottboellioides,3,1
Nepeta_discolor,5,2
Acontholimon_lycopodioides,1,5
Psychrogeton_andryaloides,3,1
Dianthus_anatolicus,6,2
Cicer_microphyllum,2,5
Heracleum_pinnatum,6,6
Scorzonera_virgata,2,2
Oxytropis_tatarica,4,3
Piptatherum_laterale_(g),15,5
Elymus_schrenkianus_(g),8,3
Lonicera_asperifolia,1,3
#############FID_649.csv##################
Species,individuals_freq,Cover_percentage
Aconogonon_tortuosum,10,15
Potentilla_sojakii,4,6
Ephedra_geradiana,5,8
Verbascum_thapsus,1,1
Lonicera_asperifolia,1,5
Artemisia_salsoloides,2,4
Thymus_linearis,5,3
Polygonum_polycnemoides,1,0.1
#############FID_670.csv##################
Species,individuals_freq,Cover_percentage
Stachys_tibetica,3,1.5
Salsola_collina,5,4
Krascheninnikovia_ceratoides,20,7
Artemisia_minor,3,1
Rosa_webbiana,6,8
#############FID_671.csv##################
Species,individuals_freq,Cover_percentage
Podophyllum_hexandrum,12,10
Heracleum_pinnatum,7,3
Aconitum_heterophyllum,8,2
Equisetum_diffusum,15,10
Gentianopsis_paludosa,12,5
Senecio_chrysanthemoides,10,5
Impatiens_brachycentra,5,3
Fagopyrum_esculentum,15,5
Lepyrodiclis_holosteoides,10,5
Chenopodium_album,10,4
Silene_vulgaris,8,2
Geranium_himalayense,6,1
Trifolium_pratense,15,4
Galium_boreale,20,9
Lotus_corniculatus,6,1
Astragalus_melanostachys,5,1
Nepeta_podostachys,4,1
Agrostis_gigantea_(g),8
Bromus_pectinatus_(g),30
Medicago_lupulina,7,5
#############FID_672.csv##################
Species,individuals_freq,Cover_percentage
Potentilla_atrosanguinea_var_argyrophylla,10,3
Potentilla_multifida,8,2
Lonicera_microphylla,1,4
Iris_hookeriana,18,10
Astragalus_strictus,25,10
Taraxacum_officinale,5,2
Gentiana_tianschanica,4,2
Astragalus_rhizanthus,6,3
Lindelofia_stylosa,3,2
Artemisia_kargilensis,8,6
Elymus_canaliculatus_(g),20,7
Sibbaldia_cuneata,15,4
Cousinia_thomsonii,1,1
Leymus_secalinus_(g),8,2
Nepeta_discolor,13,3
Kobresia_royleana_(s),30,15
Codonopsis_clematidea,2,2
Artemisia_brevifolia,1,0.1
Aster_flaccidus,3,0.5
#############FID_673.csv##################
Species,individuals_freq,Cover_percentage
Plantago_lanceolata,3,2
Cicer_microphyllum,5,4
Hylotelephium_ewersii,1,1
Trisetum_spicatum_(g),5,2
Aconogonon_tortuosum,10,8
Artemisia_kargilensis,15,12
Geranium_regelii,6,1
Potentilla_desertorum,4,2
Lindelofia_stylosa,8,2
Astragalus_rhizanthus,7,2
Bistorta_affinis,15,8
Lonicera_asperifolia,8,12
Thymus_linearis,6,3
Polygonum_biaristatum,4,1
Rheum_webbianum,3,1
Hippolytia_senecionis,1,0.5
#############FID_674.csv##################
Species,individuals_freq,Cover_percentage
Leontopodium_ochroleucum,30,7
Ranunculus_longicaulis,10,3
Ranunculus_pulchellus,15,4
Carex_orbicularis_(s),40
Carex_pseudofoetida_(s),40
Euphrasia_himalayica,7,1
Aster_flaccidus,6,1
Pedicularis_rhinanthoides,2,0.1
#############FID_675.csv##################
Species,individuals_freq,Cover_percentage
Aconogonon_tortuosum,25,20
Bistorta_affinis,20,10
Artemisia_brevifolia,10,5
Arnebia_euchroma,8,3
Geranium_regelii,7,2
Polygonum_paronychioides,3,1
Epilobium_latifolium,8,10
Crucihimalaya_mollissima,3,1
Axyris_hybrida,4,2
Koeleria_macrantha,15,6
Nepeta_discolor,10,2
Cicer_microphyllum,5,4
Lonicera_asperifolia,2,6
Plantago_lanceolata,5,3
#############FID_676.csv##################
Species,individuals_freq,Cover_percentage
Delphinium_cashmerianum,10,2.5
Gentianella_moorcroftiana,5,1
Epilobium_angustifolium,50,30
Rhodiola_heterodonta,6,2
Hippolytia_senecionis,15,7
Salix_karelinii,8,15
Rheum_webbianum,6,2
Nepeta_discolor,10,2
Allium_carolinianum,4,2
Aconitum_rotundifolium,3,1
Poa_attenuata_(g),40,25
Astragalus_candolleanus,3,1
Leontopodium_souliei,15,4
Potentilla_atrosanguinea_var_argyrophylla,12,7
Artemisia_brevifolia,5,2
Thalictrum_foetidum,2,0.5
Lindelofia_stylosa,3,1
Carex_melanantha_(s),15,5
Hylotelephium_ewersii,7,3
#############FID_677.csv##################
Species,individuals_freq,Cover_percentage
Ephedra_geradiana,50,70
Aconogonon_tortuosum,8,4
Astragalus_rhizanthus,5,3
Polygonum_paronychioides,4,0.1
#############FID_678.csv##################
Species,individuals_freq,Cover_percentage
Astragalus_oplites,5,2
Scorzonera_virgata,2,1
Dianthus_anatolicus,2,0.1
Artemisia_brevifolia,40,40
Ephedra_geradiana,35,20
#############FID_679.csv##################
Species,individuals_freq,Cover_percentage
Salix_caesia,6,15
Thalictrum_alpinum,15,5
Lomatogonium_carinthiacum,15,5
Aconitum_violaceum,20,5
Carex_pamirensis_(s),40
Aster_flaccidus,3,0.5
Argentina_anserina,20,4
Euphrasia_himalayica,50,5
Pedicularis_rhinanthoides,20,5
Plantago_himalaica,10,2
Leontopodium_souliei,10,1
Ranunculus_pulchellus,50,5
Carex_orbicularis_(s),3
#############FID_680.csv##################
Species,individuals_freq,Cover_percentage
Hippophae_tibetana,20,35
Myricaria_germanica,15,20
Aconogonon_tortuosum,3,2
Potentilla_multifida,20,5
Scrophularia_dentata,4,1
Oxytropis_tatarica,2,0.5
#############FID_681.csv##################
Species,individuals_freq,Cover_percentage
Lepidium_latifolium,5,6
Artemisia_brevifolia,50,25
Acontholimon_lycopodioides,30,15
Astragalus_oplites,10,8
Silene_rechingeri,30,8
Pennisetum_flaccidum_(g),15
Semenovia_lasiocarpa,1,1
Medicago_lupulina,3,1
Polygonum_paronychioides,25,8
#############FID_682.csv##################
Species,individuals_freq,Cover_percentage
Senecio_korshinskyi,4,1
Ephedra_intermedia,2,5
Chesneya_cuneata,2,0.1
Farinopsis_salesoviana,10,7
Anaphalis_virgata,3,2
Campanula_pallida_var_tibetica,2,1
Gentianella_moorcroftiana,5,2
Inula_rhizocephala,5,4
Nepeta_floccosa,12,5
Ribes_orientale,2,8
Rosa_webbiana,3,6
Lonicera_microphylla,1,5
Hippolytia_senecionis,6,3
Rheum_spiciforme,6,3
Draba_setosa,2,1
Pleurospermum_sp,2,2
Myricaria_germanica,7,10
Astragalus_hoffmeisteri,3,2
Artemisia_santolinifolia,5,5
Euphrasia_officinalis,10,2
Aquilegia_fragrans,4,3
Erigeron_multiradiatus,6,4
#############FID_683.csv##################
Species,individuals_freq,Cover_percentage
Thermopsis_inflata,15,8
Acontholimon_lycopodioides,5,5
Anemone_rupicola,10,6
Lonicera_semenovii,3,5
Dasiphora_dryadanthoides,15,8
Geranium_regelii,5,1
Elymus_jacquemontii_(g),3
Rheum_spiciforme,15,6
Polygonum_paronychioides,2,0.1
Saussurea_schultzii,4,1
Aconogonon_tortuosum,8,5
Lonicera_asperifolia,1,1
Rheum_webbianum,2,0.5
Draba_cachemirica,15,10
Astragalus_nivalis,6,3
Potentilla_pamirica,5,3
#############FID_684.csv##################
Species,individuals_freq,Cover_percentage
Rhodiola_pamiroalaica,7,5
Aconogonon_tortuosum,15,15
Dasiphora_dryadanthoides,8,12
Elymus_canaliculatus_(g),1
Leontopodium_alpinum,12,4
Waldheimia_tomentosa,5,4
Anemone_rupicola,10,8
Piptatherum_laterale_(g),1
Draba_cachemirica,6,3
Stipa_himalaica_(g),5
#############FID_685.csv##################
Species,individuals_freq,Cover_percentage
Euphorbia_tibetica,5,1
Artemisia_santolinifolia,25,10
Saussurea_jacea,6,2
Melica_persica_(g),3
Nepeta_floccosa,8,4
Anaphalis_virgata,10,8
Askellia_flexuosa,10,8
Campanula_pallida_var_tibetica,2,1
Nepeta_podostachys,5,2
Matthiola_chorassanica,5,2
Scrophularia_koelzii,5,1
#############FID_686.csv##################
Species,individuals_freq,Cover_percentage
Bothriochloa_ischaemum_(g),50
Astragalus_rhizanthus,3,5
Rosa_webbiana,5,12
Medicago_falcata,10,8
Lindelofia_anchusoides,3,1.5
Artemisia_brevifolia,2,1.5
Hippophae_rhamnoides,10,12
Verbascum_thapsus,10,4
Dianthus_anatolicus,8,2
Cuscuta_europaea,10,0.5
Plantago_depressa,1,0.5
Allium_sp_(unique),1,0.1
Potentilla_multifida,7,1
Sibbaldianthe_bifurca,5,0.1
Taraxacum_officinale,6,1
Piptatherum_gracile_(g),5
Heracleum_pinnatum,4,1
#############FID_687.csv##################
Species,individuals_freq,Cover_percentage
Corydalis_flabellata,11,6
Lactuca_orientalis,1,1
Artemisia_brevifolia,10,5
Stipa_himalaica_(g),2,0.5
Scophularia_koelzii,1,0.1
Haloxylon_thomsonii,4,0.5
Stachys_tibetica,1,1
#############FID_688.csv##################
Species,individuals_freq,Cover_percentage
Caragana_versicolor,5,12
Cousinia_thomsonii,10,3
Taraxacum_officinale,9,3
Inula_rhizocephala,5,3
Geranium_himalayense,4,1.5
Agrostis_gigantea_(g),5,1
Carex_stenocarpa_(s),10
Kobresia_royleana_(s),8
Aconogonon_tortuosum,2,1
Sibbaldianthe_bifurca,13,3
#############FID_689.csv##################
Species,individuals_freq,Cover_percentage
Morina_coulteriana,10,5
Stachys_tibetica,8,4
Rosa_webbiana,2,5
Euphorbia_tibetica,2,1
Hippophae_rhamnoides,6,7
Nepeta_floccosa,2,1
Dianthus_anatolicus,1,0.1
Acontholimon_lycopodioides,1,1
Artemisia_salsoloides,5,3
Artemisia_brevifolia,8,6
Rhamnus_prostrata,1,2
Oxytropis_tatarica,1,1
Gypsophila_sedifolia,1,1
Minuartia_foliosa,2,1
Campanula_pallida_var_tibetica,3,1
#############FID_690.csv##################
Species,individuals_freq,Cover_percentage
Anaphalis_virgata,1,1
